species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,diet,life_stage,health_metrics,year
Adelie,Biscoe,53.4,17.8,219.0,5687.0,female,fish,adult,overweight,2021
Adelie,Biscoe,49.3,18.1,245.0,6811.0,female,fish,adult,overweight,2021
Adelie,Biscoe,55.7,16.6,226.0,5388.0,female,fish,adult,overweight,2021
Adelie,Biscoe,38.0,15.6,221.0,6262.0,female,fish,adult,overweight,2021
Adelie,Biscoe,60.7,17.9,177.0,4811.0,female,fish,juvenile,overweight,2021
Adelie,Biscoe,35.7,16.8,194.0,5266.0,female,fish,juvenile,overweight,2021
Adelie,Biscoe,61.0,20.8,211.0,5961.0,female,fish,adult,overweight,2021
Adelie,Biscoe,66.1,20.8,246.0,6653.0,male,fish,adult,overweight,2021
Adelie,Biscoe,61.4,19.9,270.0,6722.0,male,fish,adult,overweight,2021
Adelie,Biscoe,54.9,22.3,230.0,6494.0,male,fish,adult,overweight,2021
Adelie,Biscoe,63.9,16.5,277.0,6147.0,male,fish,adult,overweight,2021
Adelie,Biscoe,55.1,19.7,224.0,6038.0,male,fish,juvenile,overweight,2021
Adelie,Biscoe,57.4,19.5,255.0,5920.0,male,fish,adult,healthy,2021
Adelie,Biscoe,20.4,16.9,166.0,3431.0,female,krill,juvenile,underweight,2021
Adelie,Biscoe,20.4,14.9,188.0,3672.0,female,krill,juvenile,underweight,2021
Adelie,Biscoe,20.8,18.0,206.0,3378.0,female,krill,juvenile,underweight,2021
Adelie,Biscoe,25.9,17.8,186.0,3511.0,female,krill,juvenile,underweight,2021
Adelie,Biscoe,21.3,16.8,179.0,3631.0,female,krill,juvenile,underweight,2021
Adelie,Biscoe,28.5,17.4,169.0,3810.0,female,krill,juvenile,healthy,2021
Adelie,Biscoe,31.6,16.0,214.0,5004.0,male,krill,juvenile,healthy,2021
Adelie,Biscoe,31.7,24.6,216.0,4821.0,male,krill,adult,underweight,2021
Adelie,Biscoe,32.9,20.2,231.0,5431.0,male,krill,adult,healthy,2021
Adelie,Biscoe,21.1,23.3,219.0,4649.0,male,krill,juvenile,healthy,2021
Adelie,Biscoe,26.9,19.2,229.0,4883.0,male,krill,adult,underweight,2021
Adelie,Biscoe,25.1,17.9,204.0,4405.0,male,krill,juvenile,underweight,2021
Adelie,Biscoe,30.2,13.1,171.0,2945.0,female,parental,chick,healthy,2021
Adelie,Biscoe,36.0,17.7,167.0,2989.0,female,parental,chick,healthy,2021
Adelie,Biscoe,28.0,16.0,164.0,3048.0,female,parental,chick,healthy,2021
Adelie,Biscoe,35.8,14.2,174.0,3005.0,female,parental,chick,healthy,2021
Adelie,Biscoe,23.3,14.2,176.0,3203.0,female,parental,chick,overweight,2021
Adelie,Biscoe,33.0,15.0,177.0,2850.0,female,parental,chick,healthy,2021
Adelie,Biscoe,32.8,14.6,193.0,3653.0,male,parental,chick,healthy,2021
Adelie,Biscoe,30.4,19.9,176.0,3220.0,male,parental,chick,underweight,2021
Adelie,Biscoe,36.3,11.2,200.0,3899.0,male,parental,chick,overweight,2021
Adelie,Biscoe,34.3,18.1,165.0,3366.0,male,parental,chick,underweight,2021
Adelie,Biscoe,26.5,12.4,171.0,3736.0,male,parental,chick,healthy,2021
Adelie,Biscoe,32.9,14.9,181.0,3647.0,male,parental,chick,healthy,2021
Adelie,Biscoe,34.7,14.0,210.0,3411.0,male,parental,chick,healthy,2021
Adelie,Biscoe,29.8,16.9,178.0,3682.0,male,parental,chick,healthy,2021
Adelie,Biscoe,38.9,14.6,169.0,3668.0,male,parental,chick,healthy,2021
Adelie,Biscoe,38.9,9.1,195.0,3597.0,male,parental,chick,healthy,2021
Adelie,Biscoe,33.7,13.6,180.0,3975.0,male,parental,chick,overweight,2021
Adelie,Biscoe,32.2,13.1,185.0,4142.0,male,parental,chick,overweight,2021
Adelie,Biscoe,34.3,15.8,185.0,3923.0,male,parental,chick,overweight,2021
Adelie,Biscoe,27.2,17.1,189.0,3744.0,male,parental,chick,healthy,2021
Adelie,Biscoe,37.8,13.4,187.0,3156.0,male,parental,chick,underweight,2021
Adelie,Biscoe,39.1,19.5,175.0,3499.0,female,squid,juvenile,underweight,2021
Adelie,Biscoe,45.5,19.3,230.0,5971.0,male,squid,adult,overweight,2021
Adelie,Biscoe,39.0,18.2,221.0,4884.0,male,squid,juvenile,healthy,2021
Adelie,Dream,33.1,18.4,206.0,4870.0,female,fish,juvenile,overweight,2021
Adelie,Dream,37.6,16.7,218.0,5372.0,female,fish,juvenile,overweight,2021
Adelie,Dream,50.6,18.7,207.0,4955.0,female,fish,juvenile,overweight,2021
Adelie,Dream,65.2,18.0,223.0,4681.0,female,fish,adult,healthy,2021
Adelie,Dream,51.7,19.7,232.0,5834.0,male,fish,juvenile,overweight,2021
Adelie,Dream,45.1,18.9,258.0,7509.0,male,fish,adult,overweight,2021
Adelie,Dream,39.2,19.0,231.0,7184.0,male,fish,juvenile,overweight,2021
Adelie,Dream,61.8,17.9,212.0,5153.0,male,fish,juvenile,overweight,2021
Adelie,Dream,50.3,20.3,225.0,5475.0,male,fish,juvenile,overweight,2021
Adelie,Dream,52.6,21.2,267.0,6818.0,male,fish,adult,overweight,2021
Adelie,Dream,62.9,16.0,249.0,5886.0,male,fish,adult,healthy,2021
Adelie,Dream,26.3,18.6,202.0,4242.0,female,krill,adult,healthy,2021
Adelie,Dream,24.0,16.6,207.0,4029.0,male,krill,juvenile,underweight,2021
Adelie,Dream,30.0,20.2,195.0,4400.0,female,krill,adult,healthy,2021
Adelie,Dream,18.2,17.4,179.0,3525.0,female,krill,juvenile,underweight,2021
